ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPassword,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,AccountCreatedDate
1,penelope.martinez4@studentmail.org,Penelope,Martinez,2000-03-03,p,Password1,801-294-7224,Lehi,UT,84105,UVU,Arts,2021-07-20 16:14:00
2,natalie.torres6@studentmail.org,Natalie,Torres,2004-06-28,p,Password2,801-877-4733,Ogden,UT,84047,East Ridge Middle,STEM,2021-07-20 16:14:00
3,elizabeth.harris7@learners.net,Elizabeth,Harris,2006-04-21,p,Password3,801-573-3664,Riverton,UT,84651,UVU,STEM,2021-07-20 16:14:00
4,paisley.jones8@studentmail.org,Paisley,Jones,2004-01-21,p,Password4,801-673-7216,West Jordan,UT,84168,Startup Lab,Both,2021-07-20 16:14:00
5,victoria.lee9@ellarises.org,Victoria,Lee,2006-12-31,p,Password5,801-232-6168,West Jordan,UT,84842,BYU,STEM,2021-07-20 16:14:00
6,hannah.torres10@learners.net,Hannah,Torres,2012-06-02,p,Password6,801-711-7482,Sandy,UT,84672,Mountain View High,STEM,2021-07-20 16:14:00
7,lucy.rodriguez11@studentmail.org,Lucy,Rodriguez,2011-02-02,p,Password7,801-798-8019,Layton,UT,84765,SLCC,Arts,2021-07-20 16:14:00
8,victoria.rodriguez12@community.org,Victoria,Rodriguez,2001-06-06,p,Password8,801-248-2796,Ogden,UT,84774,Tech Apprenticeship,STEM,2021-07-20 16:14:00
9,elijah.hill13@ellarises.org,Elijah,Hill,2009-11-13,p,Password9,801-810-8668,Bountiful,UT,84391,BYU,Both,2021-07-20 16:14:00
10,olivia.davis14@learners.net,Olivia,Davis,2001-07-19,p,Password10,801-500-8123,Lehi,UT,84115,Mountain View High,STEM,2021-07-20 16:14:00
11,lucy.allen15@studentmail.org,Lucy,Allen,2012-05-01,p,Password11,801-308-5889,Pleasant Grove,UT,84935,Cafe Rio,Both,2021-07-20 16:14:00
12,nora.martinez16@learners.net,Nora,Martinez,1998-01-05,p,Password12,801-997-9689,Orem,UT,84553,Local Library,Arts,2021-07-20 16:14:00
